,0,1,2,
1,다신 뒤지고 싶은 생각 안들 정도로 맞아야 정신차리지,1,"['다시', 'ᆫ', '뒤지', '고', '싶', '은', '생각', '안', '들', 'ᆯ', '정도', '로', '맞', '어야', '정신', '차리', '지']","뒤지,맞"
2,"너가 빨리 죽어야 되는데, 누가 좀 안 죽이나",1,"['OO', '가', '빨리', '죽', '어야', '되', '는', '데', ';;', '누구', '가', '좀', '안', '죽이', '나']","죽,죽이"
3,그러게 기레기가 발로 안 뛰고 딴따라들이 싸질러놓은 SNS 글만 하이에나같이 주워다 먹네.,1,"['그러게', '기레기', '가', '발', '로', '안', '뛰', '고', '딴따라', '들', '이', '싸지르', '어', '놓', '은', 'SNS', '글', '만', '하이에나', '같이', '줍', '어다', '먹', '네', '.']",기레기
4,엠생 쓰레기새끼들이였네 ㅋㅋ,1,"['10', '엠', '생', '쓰레기', 'ㅅㄲ', '들', '이', '였', '네', 'ㅋㅋ']","엠,생,엠생,쓰레기,새끼"
5,그쪽이나 조심하세요 갑자기 훅 듸질지 어떻게 알아요,1,"['아직', '나이', '어리', 'ᆫ', '거', '이', 'ᆫ데', '요', '?', '그쪽', '이나', '조심', '하', '세요', '갑자기', '훅', '듸질지', '어떻', '게', '알', '어요']","듸질지,뒤질지"
6,나도 나 휴거지라고 놀리는 애랑 친구하기 싫으니까 죽빵 갈기기 전에 입 다물고 저리가,1,"['나', '도', '나', '휴거지', '이', '라고', '놀리', '는', '애', '랑', '친구', '하', '기', '싫', '으니까', '죽', '빵', '갈기', '기', '전', '에', '입', '다물', '고', '저리', '가', '어']","죽,빵,죽빵"
7,"쓰레기들, 정도껏 해야지.",1,"['쓰레기', '들', ',', '정도', '껏', '하', '어야지', '.']",쓰레기
8,나라돈 빨아먹는 호로새끼네,1,"['나라', '돈', '빨아먹', '는', '호', 'ㄹ', '색기네']","호로,새끼"
9,이 어미아비 뒤진 놈,1,"['이', '어미', '아비', '뒤지', 'ᆫ', '놈']","어미,아비,뒤지"
10,몸을 욱일기 모양으로 찢어버리고 싶다.,1,"['몸', '을', '욱일기', '모양', '으로', '찢', '어', '버리', '고', '싶', '다', '.']",찢
11,너도 부모 없게 만들어줘?,1,"['너', '도', '부모', '없', '게', '만들', '어', '주', '어', '?']",부모
12,와 저 인간 진짜 교활한 여우샛기네,1,"['와', '저', '인간', '진짜', '교활', '하', 'ᆫ', '여우샛기네']","여우샛기네,샛기"
13,저런놈들은 사형시켜서 본보기를 보여야 한다,1,"['저런', '놈', '들', '은', '사형', '시키', '어서', '본보기', '를', '보이', '어야', '하', 'ᆫ다']",사형
14,어쨌든 어미 뒤진 자영업자들 가게랑 재래시장들 88올림픽 때 거지들 내쫓듯이 다 때려 패서 쫓아버려야해,1,"['어쨌든', '어미', '뒤지', 'ᆫ', '자영업자', '들', '가게', '랑', '재래시장', '들', '88', '올림픽', '때', '거지', '들', '내쫓', '듯이', '다', '때리', '어', '패', '어서', '쫓', '어', '버리', '어야', '하', '어']","어미,뒤지,거지"
15,총알받이 새끼들이 뭐가 멋있냐?,1,"['총알받이', 'ㅅㄲ', '들', '이', '뭐', '가', '멋', '있', '냐', '?']","총알받이,새끼"
16,그냥 어그로 끌 생각만 가득한 엠생 저능아들 가득하네,1,"['그냥', '어그', '로', '끌', 'ᆯ', '생각', '만', '가득', '하', 'ᆫ', '엠', '생', '저능아', '들', '가득', '하', '네']","엠,생,엠생,저능아"
17,불쌍하다 불쌍해 저렇게 사는 인생 걍 자살이 답이다,1,"['불쌍', '하', '다', '불쌍하', '어', '저렇', '게', '살', '는', '인생', '걍', '자살', '이', '답', '이', '다']",자살
18,능력이 하꼬라 그만큼 쳐받는거야 머가리 죽창 맞을 년들아,1,"['능력', '이', '하꼬', '이', '라', '그만큼', '치', '어', '받', '는', '거', '이', '야', '머가리', '죽창', '맞', '을', '년', '들', '아']","머가리,죽창"
19,인성 진짜 빻았다.,1,"['인성', '진짜', '빻', '었', '다', '.']",빻
20,멍청한놈 돈 몇푼에 조상을 버려 더러운놈,1,"['멍청', '하', 'ᆫ', '놈', '돈', '몇', '푼', '에', '조상', '르', '버리', '어', '더럽', '은', '놈']","머청,더럽"
21,너같은 친일애들은 일본행배에서 다 사망사고 나야해,1,"['너', '같', '은', '친일', '애', '들', '은', '일본행', '배', '에서', '다', '사망', '사', '고', '나', '어야', '하', '어']","친일,사망"
